"Jeremiah Hernandez","Ball St.",MAC,28,50.5,103.2,18.9,47,54.34,2.7,8.7,15,18.3,61,80,0.762,41,90,0.456,15,45,0.333,0.4,2.3,59.3,Sr,6-5,33,0.585802,98.1387,3.1,2025,70249,"Chicago, IL",,1.26825948,29,55,12,35,0.5273,0.3429,2,2,1.0000,,110.394,113.1,1.30895,93.7479,-2.90254,-1.47205,-1.43049,-2.94231,20.7452,-2.24548,-0.696837,0.4516,1.5806,2.0323,1.6774,0.8065,0.0645,6.9355,"Combo G",4.5813
"Miguel Tomley","Weber St.",BSky,17,40.2,92.1,24.2,44.9,49.4,1.2,8,13.1,18.4,37,45,0.822,32,78,0.41,31,97,0.32,0.3,1.3,25.7,Sr,6-3,3,0.629058,95.956,2.5,2025,70262,"Surrey, Canada",,0.92307688,11,25,21,53,0.4400,0.3962,0,0,,,116.755,115.658,1.64083,66.1456,-6.53187,-2.62771,-3.90416,-5.29024,28.1050,-1.68507,-3.60517,0.2500,1.8000,2.0500,1.8000,0.6500,0.0500,11.2000,"Combo G",11.6692
"Anderson Kopp",UMKC,Sum,12,19.9,126.3,26,55.1,61.85,3.1,8.1,24.6,12.3,33,36,0.917,23,43,0.535,17,45,0.378,0.5,2.4,40.9,Sr,6-5,11,2.91078,133.393,3.6,2025,70278,"Houston, TX",,1.70000000,15,18,8,25,0.8333,0.3200,0,0,,,109.514,108.287,1.56787,35.1205,2.94944,4.78085,-1.8314,6.86718,20.3938,5.27574,1.59145,0.6250,2.1250,2.7500,2.1250,1.0000,0.0625,11.3125,"Scoring PG",11.9909
"Marcus Foster",Xavier,BE,34,67.4,110,15.7,51.1,54.34,3.8,17.4,13.3,13.2,43,56,0.768,45,108,0.417,45,112,0.402,0.6,2,25.5,Sr,6-5,1,1.72682,108.251,2.9,2025,70297,"Atlanta, GA",,2.09087172,32,67,13,41,0.4776,0.3171,4,4,1.0000,,103.119,98.9443,3.06948,167.667,4.23341,2.09445,2.13897,3.10548,27.1382,1.47335,1.63213,0.8235,4.0000,4.8235,2.0294,0.9412,0.1471,7.8824,"Wing G",6.99219
"Cole Henry",Wyoming,MWC,30,45.7,101.7,20.2,56.1,55.1,7.5,16,16.3,21.3,27,57,0.474,78,139,0.561,0,0,0,2.1,1,41,Jr,6-9,8,0.939117,104.108,4.6,2025,70309,"Oskaloosa, IA",,1.02434597,51,78,27,61,0.6538,0.4426,9,12,0.7500,,108.017,105.316,1.73446,94.0838,-0.16234,-1.4689,1.30656,-0.599484,18.8581,-1.23611,0.636627,1.1935,2.5484,3.7419,1.3548,0.2903,0.3226,6.2903,C,0
"Richie Springs",Quinnipiac,MAAC,31,15.5,95.7,15.6,43.6,47.95,6.8,17.7,7.3,20,10,13,0.769,19,35,0.543,1,12,0.083,2.6,0.6,27.7,Sr,6-9,1,-0.0462239,87.6998,5,2025,70316,"Brooklyn, NY",68.0,0.74986664,12,22,7,13,0.5455,0.5385,0,0,,,104.059,109.51,0.495055,33.9174,-5.83583,-4.7462,-1.08964,-6.03537,6.4406,-5.16717,-0.868201,0.4062,1.0000,1.4062,0.2812,0.0625,0.1875,1.5938,"Stretch 4",3.42273
"Alvin Stredic","Mississippi Valley St.",SWAC,26,69.4,76.5,22.3,37.8,43.81,6.1,14.4,9.8,25.1,67,103,0.65,76,199,0.382,0,2,0,0.6,1.2,51.2,Sr,6-8,15,-1.26647,77.9925,3.7,2025,70333,"Bay City, TX",,0.41251617,44,90,32,109,0.4889,0.2936,3,3,1.0000,,124.81,127.754,0.432519,113.353,-11.2134,-7.08194,-4.13151,-11.3553,30.8679,-6.66207,-4.69325,1.6071,3.6071,5.2143,1.1786,0.6429,0.1786,9.3929,C,0.150759
"Jalen Jackson","Western Kentucky",CUSA,30,51.5,91.5,12.4,37.6,42.99,2.7,7,15,18.5,28,42,0.667,32,79,0.405,4,22,0.182,1.5,3,41.6,Sr,5-11,3,-0.418443,83.9284,5.3,2025,70336,"San Antonio, TX",27.6,2.39291436,20,40,12,39,0.5000,0.3077,0,0,,,103.799,103.812,2.00021,115.25,-0.462319,-2.5455,2.08318,-2.427,20.6063,-4.69532,2.26832,0.5312,1.4375,1.9688,2.0938,1.1562,0.2500,3.3125,"Scoring PG",1.94082
"Max Agbonkpolo","Montana St.",BSky,32,63.7,96.2,22.3,48.8,50.62,3.1,16.5,7.3,12.2,29,38,0.763,80,164,0.488,44,135,0.326,2.9,2.3,12.7,Sr,6-9,7,0.691652,97.6033,2.5,2025,70342,"Laguna Niguel, CA",88.2,0.75677849,48,78,32,86,0.6154,0.3721,17,18,0.9444,,103.994,104.667,2.39675,151.587,-1.44264,-1.85105,0.40841,-0.780235,25.2182,-0.627874,-0.15236,0.7576,3.5455,4.3030,0.8485,0.9697,0.6970,10.0909,"Wing F",9.93418
"Jalen Hill",UNLV,MWC,33,75,106.7,17.8,45,53.55,5.9,13.2,10.9,15.8,107,140,0.764,80,169,0.473,9,39,0.231,2,2.7,67.3,Sr,6-6,1,1.71849,106.284,2.8,2025,70364,"Las Vegas, NV",72.6,1.21744744,66,118,14,51,0.5593,0.2745,6,9,0.6667,,102.31,99.2979,3.38199,182.725,3.50372,0.173938,3.32978,2.43661,30.0061,0.0343751,2.40223,1.5152,3.4848,5.0000,1.6970,1.3333,0.4848,8.9091,"Wing G",2.3743
